Labels,2ms_77k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.718E008,5.914E+3,
1.72E08,5.802E+3,
1.722E008,5.709E+3,
1.724E008,5.772E+3,
1.726E008,5.788E+3,
1.728E008,5.725E+3,
1.73E08,5.806E+3,
1.732E008,5.777E+3,
1.734E008,5.734E+3,
1.736E008,5.815E+3,
1.738E008,5.677E+3,
1.74E08,5.712E+3,
1.742E008,5.894E+3,
1.744E008,5.642E+3,
1.746E008,5.810E+3,
1.748E008,5.566E+3,
1.75E08,5.737E+3,
1.752E008,5.783E+3,
1.754E008,5.794E+3,
1.756E008,5.816E+3,
1.758E008,5.736E+3,
1.76E08,5.832E+3,
1.762E008,5.779E+3,
1.764E008,5.690E+3,
1.766E008,5.797E+3,
1.768E008,5.870E+3,
1.77E08,5.648E+3,
1.772E008,5.617E+3,
1.774E008,5.680E+3,
1.776E008,5.694E+3,
1.778E008,5.806E+3,
1.78E08,5.812E+3,
1.782E008,5.907E+3,
1.784E008,5.736E+3,
1.786E008,5.800E+3,
1.788E008,5.592E+3,
1.79E08,5.749E+3,
1.792E008,5.632E+3,
1.794E008,5.762E+3,
1.796E008,5.599E+3,
1.798E008,5.808E+3,
1.8E08,5.928E+3,
1.802E008,5.806E+3,
1.804E008,5.945E+3,
1.806E008,5.685E+3,
1.808E008,5.750E+3,
1.81E08,5.829E+3,
1.812E008,5.760E+3,
1.814E008,5.778E+3,
1.816E008,5.594E+3,
1.818E008,5.710E+3,
1.82E08,5.795E+3,
1.822E008,5.716E+3,
1.824E008,5.732E+3,
1.826E008,5.821E+3,
1.828E008,5.744E+3,
1.83E08,5.782E+3,
1.832E008,5.815E+3,
1.834E008,5.790E+3,
1.836E008,5.783E+3,
1.838E008,5.812E+3,
1.84E08,5.696E+3,
1.842E008,5.784E+3,
1.844E008,5.696E+3,
1.846E008,5.685E+3,
1.848E008,5.726E+3,
1.85E08,5.823E+3,
1.852E008,5.824E+3,
1.854E008,5.640E+3,
1.856E008,5.830E+3,
1.858E008,5.695E+3,
1.86E08,5.734E+3,
1.862E008,5.792E+3,
1.864E008,5.778E+3,
1.866E008,5.951E+3,
1.868E008,5.723E+3,
1.87E08,5.704E+3,
1.872E008,5.713E+3,
1.874E008,5.750E+3,
1.876E008,5.792E+3,
1.878E008,5.744E+3,
1.88E08,5.846E+3,
1.882E008,5.731E+3,
1.884E008,5.644E+3,
1.886E008,5.837E+3,
1.888E008,5.728E+3,
1.89E08,5.906E+3,
1.892E008,5.770E+3,
1.894E008,5.683E+3,
1.896E008,5.879E+3,
1.898E008,5.756E+3,
1.9E08,5.863E+3,
1.902E008,5.623E+3,
1.904E008,5.841E+3,
1.906E008,5.831E+3,
1.908E008,5.832E+3,
1.91E08,5.945E+3,
1.912E008,5.639E+3,
