Labels,T20_100ms_repeat2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.552E008,7.950E+3,
2.556E008,7.660E+3,
2.56E08,7.765E+3,
2.564E008,7.796E+3,
2.568E008,7.994E+3,
2.572E008,7.782E+3,
2.576E008,7.794E+3,
2.58E08,7.875E+3,
2.584E008,7.766E+3,
2.588E008,7.732E+3,
2.592E008,7.714E+3,
2.596E008,7.740E+3,
2.6E08,7.879E+3,
2.604E008,7.883E+3,
2.608E008,7.814E+3,
2.612E008,7.857E+3,
2.616E008,7.680E+3,
2.62E08,7.979E+3,
2.624E008,7.873E+3,
2.628E008,7.712E+3,
2.632E008,7.847E+3,
2.636E008,7.740E+3,
2.64E08,7.723E+3,
2.644E008,7.855E+3,
2.648E008,8.021E+3,
2.652E008,7.773E+3,
2.656E008,7.880E+3,
2.66E08,7.823E+3,
2.664E008,7.872E+3,
2.668E008,7.953E+3,
2.672E008,7.786E+3,
2.676E008,7.808E+3,
2.68E08,7.758E+3,
2.684E008,7.634E+3,
2.688E008,7.829E+3,
2.692E008,7.727E+3,
2.696E008,7.768E+3,
2.7E08,7.767E+3,
2.704E008,7.571E+3,
2.708E008,7.957E+3,
2.712E008,8.031E+3,
2.716E008,7.875E+3,
2.72E08,7.812E+3,
2.724E008,7.894E+3,
2.728E008,7.724E+3,
2.732E008,7.970E+3,
2.736E008,7.690E+3,
2.74E08,7.693E+3,
2.744E008,7.948E+3,
2.748E008,7.764E+3,
2.752E008,7.691E+3,
2.756E008,7.991E+3,
2.76E08,7.688E+3,
2.764E008,7.820E+3,
2.768E008,7.905E+3,
2.772E008,7.649E+3,
2.776E008,7.919E+3,
2.78E08,7.688E+3,
2.784E008,7.867E+3,
2.788E008,7.943E+3,
2.792E008,7.765E+3,
2.796E008,7.798E+3,
2.8E08,7.798E+3,
2.804E008,7.926E+3,
2.808E008,7.740E+3,
2.812E008,7.792E+3,
2.816E008,7.777E+3,
2.82E08,7.867E+3,
2.824E008,7.931E+3,
2.828E008,7.696E+3,
2.832E008,7.927E+3,
2.836E008,7.904E+3,
2.84E08,7.763E+3,
2.844E008,7.715E+3,
2.848E008,7.883E+3,
2.852E008,7.738E+3,
2.856E008,7.747E+3,
2.86E08,8.053E+3,
2.864E008,7.883E+3,
2.868E008,7.752E+3,
2.872E008,7.811E+3,
2.876E008,7.791E+3,
2.88E08,7.774E+3,
2.884E008,7.738E+3,
2.888E008,7.762E+3,
2.892E008,7.874E+3,
2.896E008,7.809E+3,
2.9E08,7.647E+3,
2.904E008,7.754E+3,
2.908E008,7.834E+3,
2.912E008,7.740E+3,
2.916E008,7.780E+3,
2.92E08,7.770E+3,
2.924E008,7.829E+3,
2.928E008,7.755E+3,
2.932E008,7.844E+3,
2.936E008,7.665E+3,
2.94E08,7.960E+3,
2.944E008,7.955E+3,
2.948E008,7.906E+3,
2.952E008,7.794E+3,
2.956E008,7.875E+3,
2.96E08,7.884E+3,
2.964E008,7.753E+3,
2.968E008,7.891E+3,
2.972E008,7.850E+3,
2.976E008,7.962E+3,
2.98E08,7.770E+3,
2.984E008,7.817E+3,
2.988E008,7.849E+3,
2.992E008,7.952E+3,
2.996E008,7.823E+3,
3E08,7.646E+3,
3.004E008,7.877E+3,
3.008E008,7.787E+3,
3.012E008,7.780E+3,
3.016E008,7.820E+3,
3.02E08,7.716E+3,
3.024E008,7.842E+3,
3.028E008,7.818E+3,
3.032E008,7.753E+3,
3.036E008,7.659E+3,
3.04E08,7.743E+3,
3.044E008,7.787E+3,
3.048E008,7.692E+3,
3.052E008,7.829E+3,
3.056E008,7.678E+3,
3.06E08,7.846E+3,
3.064E008,7.907E+3,
3.068E008,7.867E+3,
3.072E008,7.802E+3,
3.076E008,7.818E+3,
3.08E08,7.806E+3,
3.084E008,7.800E+3,
3.088E008,7.957E+3,
3.092E008,7.734E+3,
3.096E008,7.812E+3,
3.1E08,7.742E+3,
3.104E008,8.022E+3,
3.108E008,7.764E+3,
3.112E008,7.709E+3,
3.116E008,7.752E+3,
3.12E08,7.839E+3,
3.124E008,7.888E+3,
3.128E008,7.776E+3,
3.132E008,7.779E+3,
3.136E008,7.875E+3,
3.14E08,7.703E+3,
3.144E008,7.931E+3,
3.148E008,7.852E+3,
3.152E008,7.919E+3,
3.156E008,7.829E+3,
