Labels,amplitude_3_5sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.428E008,2.870E+2,
3.432E008,2.820E+2,
3.436E008,2.660E+2,
3.44E08,2.760E+2,
3.444E008,3.060E+2,
3.448E008,2.440E+2,
3.452E008,2.630E+2,
3.456E008,2.990E+2,
3.46E08,2.930E+2,
3.464E008,2.280E+2,
3.468E008,2.870E+2,
3.472E008,2.650E+2,
3.476E008,2.860E+2,
3.48E08,2.900E+2,
3.484E008,2.530E+2,
3.488E008,2.610E+2,
3.492E008,2.870E+2,
3.496E008,3.000E+2,
3.5E08,2.470E+2,
3.504E008,2.710E+2,
3.508E008,2.600E+2,
3.512E008,2.810E+2,
3.516E008,2.700E+2,
3.52E08,2.490E+2,
3.524E008,2.670E+2,
3.528E008,3.130E+2,
3.532E008,2.820E+2,
3.536E008,2.570E+2,
3.54E08,2.550E+2,
3.544E008,2.340E+2,
3.548E008,2.710E+2,
3.552E008,2.590E+2,
3.556E008,2.460E+2,
3.56E08,2.850E+2,
3.564E008,2.690E+2,
3.568E008,2.850E+2,
3.572E008,3.020E+2,
3.576E008,2.450E+2,
3.58E08,2.830E+2,
3.584E008,2.750E+2,
3.588E008,2.770E+2,
3.592E008,2.570E+2,
3.596E008,2.740E+2,
3.6E08,2.980E+2,
3.604E008,2.850E+2,
3.608E008,2.820E+2,
3.612E008,2.690E+2,
3.616E008,2.730E+2,
3.62E08,3.090E+2,
3.624E008,2.680E+2,
3.628E008,2.680E+2,
3.632E008,2.480E+2,
3.636E008,2.880E+2,
3.64E08,2.880E+2,
3.644E008,2.370E+2,
3.648E008,2.630E+2,
3.652E008,2.960E+2,
3.656E008,2.770E+2,
3.66E08,2.550E+2,
3.664E008,2.520E+2,
3.668E008,3.100E+2,
3.672E008,2.790E+2,
3.676E008,2.730E+2,
3.68E08,3.030E+2,
3.684E008,2.630E+2,
3.688E008,2.480E+2,
