Labels,5p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.908E008,1.104E+4,
2.912E008,1.102E+4,
2.916E008,1.062E+4,
2.92E08,1.094E+4,
2.924E008,1.089E+4,
2.928E008,1.086E+4,
2.932E008,1.069E+4,
2.936E008,1.095E+4,
2.94E08,1.094E+4,
2.944E008,1.096E+4,
2.948E008,1.091E+4,
2.952E008,1.096E+4,
2.956E008,1.096E+4,
2.96E08,1.075E+4,
2.964E008,1.089E+4,
2.968E008,1.102E+4,
2.972E008,1.074E+4,
2.976E008,1.107E+4,
2.98E08,1.106E+4,
2.984E008,1.087E+4,
2.988E008,1.104E+4,
2.992E008,1.087E+4,
2.996E008,1.086E+4,
3E08,1.077E+4,
3.004E008,1.102E+4,
3.008E008,1.104E+4,
3.012E008,1.068E+4,
3.016E008,1.082E+4,
3.02E08,1.093E+4,
3.024E008,1.091E+4,
3.028E008,1.067E+4,
3.032E008,1.077E+4,
3.036E008,1.079E+4,
3.04E08,1.085E+4,
3.044E008,1.082E+4,
3.048E008,1.109E+4,
3.052E008,1.095E+4,
3.056E008,1.090E+4,
3.06E08,1.110E+4,
3.064E008,1.089E+4,
3.068E008,1.086E+4,
3.072E008,1.095E+4,
3.076E008,1.092E+4,
3.08E08,1.089E+4,
3.084E008,1.117E+4,
3.088E008,1.088E+4,
3.092E008,1.104E+4,
3.096E008,1.118E+4,
3.1E08,1.078E+4,
3.104E008,1.089E+4,
3.108E008,1.070E+4,
3.112E008,1.082E+4,
3.116E008,1.077E+4,
3.12E08,1.087E+4,
3.124E008,1.098E+4,
3.128E008,1.091E+4,
3.132E008,1.083E+4,
3.136E008,1.105E+4,
3.14E08,1.092E+4,
3.144E008,1.095E+4,
3.148E008,1.097E+4,
3.152E008,1.076E+4,
3.156E008,1.083E+4,
3.16E08,1.090E+4,
3.164E008,1.079E+4,
3.168E008,1.079E+4,
3.172E008,1.088E+4,
3.176E008,1.074E+4,
3.18E08,1.091E+4,
3.184E008,1.083E+4,
3.188E008,1.084E+4,
3.192E008,1.061E+4,
3.196E008,1.085E+4,
3.2E08,1.088E+4,
3.204E008,1.085E+4,
3.208E008,1.080E+4,
3.212E008,1.095E+4,
3.216E008,1.108E+4,
3.22E08,1.120E+4,
3.224E008,1.084E+4,
3.228E008,1.092E+4,
3.232E008,1.099E+4,
3.236E008,1.094E+4,
3.24E08,1.083E+4,
3.244E008,1.091E+4,
3.248E008,1.107E+4,
3.252E008,1.088E+4,
3.256E008,1.089E+4,
3.26E08,1.077E+4,
3.264E008,1.106E+4,
3.268E008,1.084E+4,
3.272E008,1.087E+4,
3.276E008,1.090E+4,
3.28E08,1.079E+4,
3.284E008,1.092E+4,
3.288E008,1.085E+4,
3.292E008,1.082E+4,
3.296E008,1.073E+4,
3.3E08,1.071E+4,
3.304E008,1.103E+4,
3.308E008,1.091E+4,
3.312E008,1.094E+4,
