Labels,t12_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,7.998E007,
Step,2E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.572E007,8.002E+3,
1.574E007,7.875E+3,
1.576E007,7.986E+3,
1.578E007,7.841E+3,
1.58E07,7.753E+3,
1.582E007,7.784E+3,
1.584E007,7.792E+3,
1.586E007,7.527E+3,
1.588E007,7.784E+3,
1.59E07,7.887E+3,
1.592E007,7.815E+3,
1.594E007,7.834E+3,
1.596E007,7.833E+3,
1.598E007,7.758E+3,
1.6E07,7.855E+3,
1.602E007,7.797E+3,
1.604E007,7.904E+3,
1.606E007,7.661E+3,
1.608E007,7.632E+3,
1.61E07,7.610E+3,
1.612E007,7.530E+3,
1.614E007,7.610E+3,
1.616E007,7.603E+3,
1.618E007,7.535E+3,
1.62E07,7.535E+3,
1.622E007,7.568E+3,
1.624E007,7.615E+3,
1.626E007,7.606E+3,
1.628E007,7.529E+3,
1.63E07,7.289E+3,
1.632E007,7.555E+3,
1.634E007,7.508E+3,
1.636E007,7.411E+3,
1.638E007,7.367E+3,
1.64E07,7.306E+3,
1.642E007,7.364E+3,
1.644E007,7.413E+3,
1.646E007,7.339E+3,
1.648E007,7.529E+3,
1.65E07,7.451E+3,
1.652E007,7.387E+3,
1.654E007,7.170E+3,
1.656E007,7.405E+3,
1.658E007,7.427E+3,
1.66E07,7.196E+3,
1.662E007,7.200E+3,
1.664E007,7.227E+3,
1.666E007,7.287E+3,
1.668E007,7.319E+3,
1.67E07,7.237E+3,
1.672E007,7.266E+3,
1.674E007,7.185E+3,
1.676E007,7.195E+3,
1.678E007,7.155E+3,
1.68E07,7.034E+3,
1.682E007,6.936E+3,
1.684E007,7.118E+3,
1.686E007,7.219E+3,
1.688E007,7.199E+3,
1.69E07,7.164E+3,
1.692E007,7.160E+3,
1.694E007,7.106E+3,
1.696E007,7.081E+3,
1.698E007,7.133E+3,
1.7E07,7.035E+3,
1.702E007,6.841E+3,
1.704E007,7.124E+3,
1.706E007,6.969E+3,
1.708E007,6.928E+3,
1.71E07,7.006E+3,
1.712E007,7.126E+3,
1.714E007,6.982E+3,
1.716E007,6.930E+3,
1.718E007,6.894E+3,
1.72E07,6.978E+3,
1.722E007,6.862E+3,
1.724E007,6.904E+3,
1.726E007,6.877E+3,
1.728E007,6.865E+3,
1.73E07,6.902E+3,
1.732E007,6.979E+3,
1.734E007,6.795E+3,
1.736E007,6.878E+3,
1.738E007,6.756E+3,
1.74E07,6.766E+3,
1.742E007,6.729E+3,
1.744E007,6.679E+3,
1.746E007,6.760E+3,
1.748E007,6.613E+3,
1.75E07,6.641E+3,
1.752E007,6.783E+3,
1.754E007,6.571E+3,
1.756E007,6.682E+3,
1.758E007,6.718E+3,
1.76E07,6.675E+3,
1.762E007,6.549E+3,
1.764E007,6.647E+3,
1.766E007,6.627E+3,
1.768E007,6.753E+3,
1.77E07,6.395E+3,
1.772E007,6.717E+3,
1.774E007,6.512E+3,
1.776E007,6.526E+3,
1.778E007,6.598E+3,
1.78E07,6.504E+3,
1.782E007,6.611E+3,
1.784E007,6.558E+3,
1.786E007,6.502E+3,
1.788E007,6.475E+3,
1.79E07,6.555E+3,
1.792E007,6.589E+3,
1.794E007,6.396E+3,
1.796E007,6.354E+3,
1.798E007,6.294E+3,
1.8E07,6.466E+3,
1.802E007,6.559E+3,
1.804E007,6.339E+3,
1.806E007,6.364E+3,
1.808E007,6.335E+3,
1.81E07,6.318E+3,
1.812E007,6.441E+3,
1.814E007,6.445E+3,
1.816E007,6.291E+3,
1.818E007,6.306E+3,
1.82E07,6.247E+3,
1.822E007,6.290E+3,
1.824E007,6.280E+3,
1.826E007,6.265E+3,
1.828E007,6.370E+3,
1.83E07,6.329E+3,
1.832E007,6.290E+3,
1.834E007,6.221E+3,
1.836E007,6.272E+3,
1.838E007,6.211E+3,
1.84E07,6.203E+3,
1.842E007,6.103E+3,
1.844E007,6.243E+3,
1.846E007,5.995E+3,
1.848E007,6.163E+3,
1.85E07,6.179E+3,
1.852E007,6.111E+3,
1.854E007,6.242E+3,
1.856E007,6.106E+3,
1.858E007,6.118E+3,
1.86E07,6.024E+3,
1.862E007,6.136E+3,
1.864E007,6.120E+3,
1.866E007,6.051E+3,
1.868E007,6.096E+3,
1.87E07,6.058E+3,
1.872E007,6.039E+3,
1.874E007,6.138E+3,
1.876E007,6.008E+3,
1.878E007,5.896E+3,
1.88E07,5.918E+3,
1.882E007,5.944E+3,
1.884E007,5.848E+3,
1.886E007,5.909E+3,
1.888E007,5.978E+3,
1.89E07,5.878E+3,
1.892E007,5.950E+3,
1.894E007,5.953E+3,
1.896E007,5.928E+3,
1.898E007,5.891E+3,
1.9E07,5.829E+3,
1.902E007,5.739E+3,
1.904E007,5.764E+3,
1.906E007,5.750E+3,
1.908E007,6.019E+3,
1.91E07,5.753E+3,
1.912E007,5.858E+3,
1.914E007,5.720E+3,
1.916E007,5.661E+3,
1.918E007,5.788E+3,
1.92E07,5.677E+3,
1.922E007,5.784E+3,
1.924E007,5.778E+3,
1.926E007,5.715E+3,
1.928E007,5.734E+3,
1.93E07,5.671E+3,
1.932E007,5.769E+3,
