Labels,T13_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.508E008,7.093E+3,
1.51E08,7.249E+3,
1.512E008,7.204E+3,
1.514E008,7.276E+3,
1.516E008,7.233E+3,
1.518E008,7.201E+3,
1.52E08,7.311E+3,
1.522E008,7.265E+3,
1.524E008,7.186E+3,
1.526E008,7.202E+3,
1.528E008,7.224E+3,
1.53E08,7.170E+3,
1.532E008,7.113E+3,
1.534E008,7.164E+3,
1.536E008,7.222E+3,
1.538E008,7.101E+3,
1.54E08,7.180E+3,
1.542E008,7.181E+3,
1.544E008,7.280E+3,
1.546E008,7.268E+3,
1.548E008,7.166E+3,
1.55E08,7.123E+3,
1.552E008,6.979E+3,
1.554E008,7.134E+3,
1.556E008,7.097E+3,
1.558E008,7.228E+3,
1.56E08,7.122E+3,
1.562E008,7.227E+3,
1.564E008,7.216E+3,
1.566E008,7.159E+3,
1.568E008,7.245E+3,
1.57E08,7.081E+3,
1.572E008,7.112E+3,
1.574E008,7.112E+3,
1.576E008,7.166E+3,
1.578E008,7.125E+3,
1.58E08,7.229E+3,
1.582E008,7.398E+3,
1.584E008,7.204E+3,
1.586E008,7.193E+3,
1.588E008,7.266E+3,
1.59E08,7.090E+3,
1.592E008,7.308E+3,
1.594E008,7.149E+3,
1.596E008,7.058E+3,
1.598E008,7.237E+3,
1.6E08,7.119E+3,
1.602E008,7.101E+3,
1.604E008,7.088E+3,
1.606E008,7.117E+3,
1.608E008,7.187E+3,
1.61E08,7.124E+3,
1.612E008,7.121E+3,
1.614E008,7.022E+3,
1.616E008,7.114E+3,
1.618E008,7.139E+3,
1.62E08,7.000E+3,
1.622E008,7.204E+3,
1.624E008,7.020E+3,
1.626E008,7.213E+3,
1.628E008,7.092E+3,
1.63E08,7.226E+3,
1.632E008,7.066E+3,
1.634E008,7.071E+3,
1.636E008,7.290E+3,
1.638E008,7.243E+3,
1.64E08,7.096E+3,
1.642E008,7.148E+3,
1.644E008,7.314E+3,
1.646E008,7.093E+3,
1.648E008,7.181E+3,
1.65E08,7.105E+3,
1.652E008,7.243E+3,
1.654E008,7.089E+3,
1.656E008,6.982E+3,
1.658E008,7.206E+3,
1.66E08,7.168E+3,
1.662E008,7.249E+3,
1.664E008,7.120E+3,
1.666E008,7.145E+3,
1.668E008,7.128E+3,
1.67E08,7.209E+3,
1.672E008,7.320E+3,
1.674E008,7.277E+3,
1.676E008,7.262E+3,
1.678E008,7.096E+3,
1.68E08,7.129E+3,
1.682E008,7.000E+3,
1.684E008,7.236E+3,
1.686E008,7.153E+3,
1.688E008,7.130E+3,
1.69E08,7.233E+3,
1.692E008,7.057E+3,
1.694E008,7.154E+3,
1.696E008,7.121E+3,
1.698E008,7.127E+3,
1.7E08,7.237E+3,
1.702E008,7.132E+3,
1.704E008,7.011E+3,
1.706E008,7.174E+3,
1.708E008,7.223E+3,
1.71E08,7.273E+3,
1.712E008,7.212E+3,
1.714E008,7.174E+3,
1.716E008,7.122E+3,
1.718E008,7.172E+3,
1.72E08,7.329E+3,
1.722E008,6.874E+3,
1.724E008,7.105E+3,
1.726E008,7.212E+3,
1.728E008,7.235E+3,
1.73E08,7.109E+3,
1.732E008,7.174E+3,
1.734E008,7.260E+3,
1.736E008,7.038E+3,
1.738E008,7.317E+3,
1.74E08,7.015E+3,
1.742E008,7.137E+3,
1.744E008,7.243E+3,
1.746E008,7.204E+3,
1.748E008,7.079E+3,
1.75E08,7.223E+3,
1.752E008,7.111E+3,
1.754E008,7.107E+3,
1.756E008,7.051E+3,
1.758E008,6.967E+3,
1.76E08,7.158E+3,
1.762E008,7.371E+3,
1.764E008,7.153E+3,
1.766E008,7.059E+3,
1.768E008,6.981E+3,
1.77E08,7.198E+3,
1.772E008,7.272E+3,
1.774E008,7.131E+3,
1.776E008,7.066E+3,
1.778E008,7.088E+3,
1.78E08,7.288E+3,
1.782E008,6.996E+3,
1.784E008,7.200E+3,
1.786E008,7.073E+3,
1.788E008,7.144E+3,
1.79E08,7.031E+3,
1.792E008,7.043E+3,
1.794E008,7.181E+3,
1.796E008,7.256E+3,
1.798E008,7.167E+3,
1.8E08,7.115E+3,
1.802E008,7.231E+3,
1.804E008,7.110E+3,
1.806E008,7.039E+3,
1.808E008,7.107E+3,
1.81E08,7.289E+3,
1.812E008,7.057E+3,
1.814E008,7.148E+3,
1.816E008,7.044E+3,
1.818E008,7.259E+3,
1.82E08,7.090E+3,
1.822E008,7.139E+3,
1.824E008,7.113E+3,
1.826E008,7.341E+3,
1.828E008,7.183E+3,
1.83E08,7.236E+3,
1.832E008,7.156E+3,
1.834E008,7.141E+3,
1.836E008,7.116E+3,
1.838E008,7.042E+3,
1.84E08,7.213E+3,
1.842E008,7.278E+3,
1.844E008,7.353E+3,
1.846E008,7.070E+3,
1.848E008,7.366E+3,
1.85E08,7.162E+3,
1.852E008,7.209E+3,
1.854E008,7.102E+3,
1.856E008,7.245E+3,
1.858E008,7.224E+3,
1.86E08,7.163E+3,
1.862E008,7.208E+3,
1.864E008,7.224E+3,
1.866E008,6.986E+3,
1.868E008,7.086E+3,
1.87E08,7.115E+3,
1.872E008,7.169E+3,
1.874E008,7.355E+3,
1.876E008,7.072E+3,
1.878E008,7.095E+3,
1.88E08,7.145E+3,
1.882E008,7.025E+3,
1.884E008,7.223E+3,
1.886E008,7.052E+3,
1.888E008,7.330E+3,
1.89E08,7.235E+3,
1.892E008,7.178E+3,
1.894E008,7.155E+3,
1.896E008,7.110E+3,
1.898E008,7.088E+3,
1.9E08,7.050E+3,
