Labels,T24_decay_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.5925E0007,1.313E+4,
1.595E007,1.319E+4,
1.5975E0007,1.298E+4,
1.6E07,1.300E+4,
1.6025E0007,1.314E+4,
1.605E007,1.313E+4,
1.6075E0007,1.281E+4,
1.61E07,1.278E+4,
1.6125E0007,1.285E+4,
1.615E007,1.287E+4,
1.6175E0007,1.269E+4,
1.62E07,1.302E+4,
1.6225E0007,1.279E+4,
1.625E007,1.279E+4,
1.6275E0007,1.268E+4,
1.63E07,1.268E+4,
1.6325E0007,1.291E+4,
1.635E007,1.271E+4,
1.6375E0007,1.289E+4,
1.64E07,1.269E+4,
1.6425E0007,1.239E+4,
1.645E007,1.258E+4,
1.6475E0007,1.254E+4,
1.65E07,1.252E+4,
1.6525E0007,1.247E+4,
1.655E007,1.236E+4,
1.6575E0007,1.262E+4,
1.66E07,1.250E+4,
1.6625E0007,1.263E+4,
1.665E007,1.261E+4,
1.6675E0007,1.265E+4,
1.67E07,1.244E+4,
1.6725E0007,1.237E+4,
1.675E007,1.234E+4,
1.6775E0007,1.248E+4,
1.68E07,1.244E+4,
1.6825E0007,1.215E+4,
1.685E007,1.240E+4,
1.6875E0007,1.218E+4,
1.69E07,1.208E+4,
1.6925E0007,1.216E+4,
1.695E007,1.226E+4,
1.6975E0007,1.198E+4,
1.7E07,1.217E+4,
1.7025E0007,1.209E+4,
1.705E007,1.201E+4,
1.7075E0007,1.207E+4,
1.71E07,1.195E+4,
1.7125E0007,1.199E+4,
1.715E007,1.190E+4,
1.7175E0007,1.199E+4,
1.72E07,1.207E+4,
1.7225E0007,1.182E+4,
1.725E007,1.197E+4,
1.7275E0007,1.203E+4,
1.73E07,1.199E+4,
1.7325E0007,1.159E+4,
1.735E007,1.156E+4,
1.7375E0007,1.183E+4,
1.74E07,1.165E+4,
1.7425E0007,1.177E+4,
1.745E007,1.171E+4,
1.7475E0007,1.185E+4,
1.75E07,1.156E+4,
1.7525E0007,1.165E+4,
1.755E007,1.159E+4,
1.7575E0007,1.159E+4,
1.76E07,1.145E+4,
1.7625E0007,1.148E+4,
1.765E007,1.133E+4,
1.7675E0007,1.144E+4,
1.77E07,1.164E+4,
1.7725E0007,1.151E+4,
1.775E007,1.135E+4,
1.7775E0007,1.162E+4,
1.78E07,1.158E+4,
1.7825E0007,1.140E+4,
1.785E007,1.128E+4,
1.7875E0007,1.147E+4,
1.79E07,1.132E+4,
1.7925E0007,1.120E+4,
1.795E007,1.128E+4,
1.7975E0007,1.123E+4,
1.8E07,1.140E+4,
1.8025E0007,1.140E+4,
1.805E007,1.121E+4,
1.8075E0007,1.115E+4,
1.81E07,1.113E+4,
1.8125E0007,1.102E+4,
1.815E007,1.119E+4,
1.8175E0007,1.099E+4,
1.82E07,1.098E+4,
1.8225E0007,1.120E+4,
1.825E007,1.099E+4,
1.8275E0007,1.093E+4,
1.83E07,1.106E+4,
1.8325E0007,1.111E+4,
1.835E007,1.114E+4,
1.8375E0007,1.095E+4,
1.84E07,1.107E+4,
1.8425E0007,1.071E+4,
1.845E007,1.070E+4,
1.8475E0007,1.102E+4,
1.85E07,1.081E+4,
1.8525E0007,1.069E+4,
1.855E007,1.079E+4,
1.8575E0007,1.094E+4,
1.86E07,1.073E+4,
1.8625E0007,1.073E+4,
1.865E007,1.091E+4,
1.8675E0007,1.056E+4,
1.87E07,1.064E+4,
1.8725E0007,1.057E+4,
1.875E007,1.102E+4,
1.8775E0007,1.052E+4,
1.88E07,1.061E+4,
1.8825E0007,1.061E+4,
1.885E007,1.048E+4,
1.8875E0007,1.077E+4,
1.89E07,1.055E+4,
1.8925E0007,1.052E+4,
1.895E007,1.052E+4,
1.8975E0007,1.041E+4,
1.9E07,1.041E+4,
1.9025E0007,1.049E+4,
1.905E007,1.039E+4,
1.9075E0007,1.049E+4,
1.91E07,1.030E+4,
1.9125E0007,1.036E+4,
1.915E007,1.014E+4,
1.9175E0007,1.027E+4,
1.92E07,1.037E+4,
1.9225E0007,1.023E+4,
1.925E007,1.021E+4,
1.9275E0007,1.030E+4,
1.93E07,1.024E+4,
1.9325E0007,1.004E+4,
1.935E007,1.011E+4,
1.9375E0007,1.001E+4,
1.94E07,1.026E+4,
1.9425E0007,1.013E+4,
1.945E007,1.013E+4,
1.9475E0007,1.005E+4,
1.95E07,1.028E+4,
1.9525E0007,1.007E+4,
1.955E007,1.006E+4,
1.9575E0007,1.003E+4,
1.96E07,9.978E+3,
1.9625E0007,9.985E+3,
1.965E007,9.801E+3,
1.9675E0007,1.007E+4,
1.97E07,9.891E+3,
1.9725E0007,9.787E+3,
1.975E007,9.739E+3,
1.9775E0007,9.909E+3,
1.98E07,9.729E+3,
1.9825E0007,9.726E+3,
1.985E007,9.755E+3,
1.9875E0007,9.794E+3,
1.99E07,9.762E+3,
1.9925E0007,9.874E+3,
1.995E007,9.783E+3,
1.9975E0007,9.833E+3,
2E07,9.817E+3,
2.0025E0007,9.578E+3,
2.005E007,9.672E+3,
2.0075E0007,9.724E+3,
2.01E07,9.637E+3,
2.0125E0007,9.685E+3,
2.015E007,9.642E+3,
2.0175E0007,9.299E+3,
2.02E07,9.254E+3,
2.0225E0007,9.645E+3,
2.025E007,9.565E+3,
2.0275E0007,9.446E+3,
2.03E07,9.599E+3,
2.0325E0007,9.281E+3,
2.035E007,9.399E+3,
2.0375E0007,9.244E+3,
2.04E07,9.484E+3,
2.0425E0007,9.362E+3,
2.045E007,9.397E+3,
2.0475E0007,9.367E+3,
2.05E07,9.511E+3,
2.0525E0007,9.479E+3,
2.055E007,9.122E+3,
2.0575E0007,9.449E+3,
2.06E07,9.298E+3,
2.0625E0007,9.211E+3,
2.065E007,9.333E+3,
2.0675E0007,9.495E+3,
2.07E07,9.306E+3,
2.0725E0007,9.250E+3,
