Labels,T27_decay_canolaOil,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.145E007,1.199E+4,
1.1475E0007,1.199E+4,
1.15E07,1.188E+4,
1.1525E0007,1.199E+4,
1.155E007,1.180E+4,
1.1575E0007,1.180E+4,
1.16E07,1.196E+4,
1.1625E0007,1.196E+4,
1.165E007,1.169E+4,
1.1675E0007,1.172E+4,
1.17E07,1.171E+4,
1.1725E0007,1.169E+4,
1.175E007,1.150E+4,
1.1775E0007,1.167E+4,
1.18E07,1.165E+4,
1.1825E0007,1.167E+4,
1.185E007,1.150E+4,
1.1875E0007,1.153E+4,
1.19E07,1.152E+4,
1.1925E0007,1.148E+4,
1.195E007,1.135E+4,
1.1975E0007,1.136E+4,
1.2E07,1.131E+4,
1.2025E0007,1.140E+4,
1.205E007,1.129E+4,
1.2075E0007,1.114E+4,
1.21E07,1.104E+4,
1.2125E0007,1.127E+4,
1.215E007,1.119E+4,
1.2175E0007,1.102E+4,
1.22E07,1.113E+4,
1.2225E0007,1.113E+4,
1.225E007,1.122E+4,
1.2275E0007,1.112E+4,
1.23E07,1.117E+4,
1.2325E0007,1.088E+4,
1.235E007,1.100E+4,
1.2375E0007,1.094E+4,
1.24E07,1.084E+4,
1.2425E0007,1.095E+4,
1.245E007,1.103E+4,
1.2475E0007,1.093E+4,
1.25E07,1.100E+4,
1.2525E0007,1.092E+4,
1.255E007,1.092E+4,
1.2575E0007,1.082E+4,
1.26E07,1.087E+4,
1.2625E0007,1.077E+4,
1.265E007,1.075E+4,
1.2675E0007,1.085E+4,
1.27E07,1.056E+4,
1.2725E0007,1.073E+4,
1.275E007,1.065E+4,
1.2775E0007,1.064E+4,
1.28E07,1.044E+4,
1.2825E0007,1.058E+4,
1.285E007,1.048E+4,
1.2875E0007,1.042E+4,
1.29E07,1.051E+4,
1.2925E0007,1.055E+4,
1.295E007,1.058E+4,
1.2975E0007,1.039E+4,
1.3E07,1.060E+4,
1.3025E0007,1.032E+4,
1.305E007,1.045E+4,
1.3075E0007,1.023E+4,
1.31E07,1.013E+4,
1.3125E0007,1.032E+4,
1.315E007,1.013E+4,
1.3175E0007,1.020E+4,
1.32E07,1.012E+4,
1.3225E0007,1.045E+4,
1.325E007,1.010E+4,
1.3275E0007,1.015E+4,
1.33E07,1.027E+4,
1.3325E0007,1.001E+4,
