Labels,T2_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.125E007,7.693E+3,
2.1275E0007,7.647E+3,
2.13E07,7.658E+3,
2.1325E0007,7.534E+3,
2.135E007,7.662E+3,
2.1375E0007,7.649E+3,
2.14E07,7.512E+3,
2.1425E0007,7.763E+3,
2.145E007,7.631E+3,
2.1475E0007,7.554E+3,
2.15E07,7.598E+3,
2.1525E0007,7.460E+3,
2.155E007,7.637E+3,
2.1575E0007,7.414E+3,
2.16E07,7.498E+3,
2.1625E0007,7.499E+3,
2.165E007,7.449E+3,
2.1675E0007,7.613E+3,
2.17E07,7.511E+3,
2.1725E0007,7.493E+3,
2.175E007,7.377E+3,
2.1775E0007,7.401E+3,
2.18E07,7.384E+3,
2.1825E0007,7.276E+3,
2.185E007,7.487E+3,
2.1875E0007,7.365E+3,
2.19E07,7.311E+3,
2.1925E0007,7.304E+3,
2.195E007,7.445E+3,
2.1975E0007,7.306E+3,
2.2E07,7.399E+3,
2.2025E0007,7.141E+3,
2.205E007,7.111E+3,
2.2075E0007,7.150E+3,
2.21E07,7.233E+3,
2.2125E0007,7.362E+3,
2.215E007,7.300E+3,
2.2175E0007,7.237E+3,
2.22E07,7.118E+3,
2.2225E0007,7.170E+3,
2.225E007,7.256E+3,
2.2275E0007,7.036E+3,
2.23E07,7.026E+3,
2.2325E0007,7.017E+3,
2.235E007,7.112E+3,
2.2375E0007,7.110E+3,
2.24E07,7.071E+3,
2.2425E0007,7.153E+3,
2.245E007,7.142E+3,
2.2475E0007,6.991E+3,
2.25E07,7.099E+3,
2.2525E0007,7.062E+3,
2.255E007,6.946E+3,
2.2575E0007,7.196E+3,
2.26E07,6.905E+3,
2.2625E0007,6.885E+3,
2.265E007,6.972E+3,
2.2675E0007,6.939E+3,
2.27E07,7.017E+3,
2.2725E0007,6.871E+3,
2.275E007,6.942E+3,
2.2775E0007,6.812E+3,
2.28E07,7.054E+3,
2.2825E0007,6.817E+3,
2.285E007,6.871E+3,
2.2875E0007,6.963E+3,
2.29E07,6.890E+3,
2.2925E0007,6.815E+3,
2.295E007,6.976E+3,
2.2975E0007,6.875E+3,
2.3E07,6.715E+3,
2.3025E0007,6.726E+3,
2.305E007,6.737E+3,
